Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
23,Long-Einstieg,2023-05-30 15:52,Long_140,14473.75,40,11579000,-9000,-0.08,1000,0.01,-9000,-0.08,37935,37.94
24,Long-Ausstieg,2023-05-30 15:53,L140 SL,14462.5,41,11868475,-9225,-0.08,1025,0.01,-9225,-0.08,28710,28.71
24,Long-Einstieg,2023-05-30 15:52,Long_140,14473.75,41,11868475,-9225,-0.08,1025,0.01,-9225,-0.08,28710,28.71
25,Long-Ausstieg,2023-05-31 06:01,EOD_CLOSE,14381,2,578950,-3710,-0.64,430,0.07,-5480,-0.95,25000,25.00
25,Long-Einstieg,2023-05-30 15:52,Long_140,14473.75,2,578950,-3710,-0.64,430,0.07,-5480,-0.95,25000,25.00
26,Short-Ausstieg,2023-05-31 15:38,S178 SL,14364.25,25,7175875,-6250,-0.09,7750,0.11,-6250,-0.09,18750,18.75
26,Short-Einstieg,2023-05-31 15:31,Short_178,14351.75,25,7175875,-6250,-0.09,7750,0.11,-6250,-0.09,18750,18.75
27,Short-Ausstieg,2023-05-31 15:38,S178 SL,14364.25,25,7175875,-6250,-0.09,7750,0.11,-6250,-0.09,12500,12.50
27,Short-Einstieg,2023-05-31 15:31,Short_178,14351.75,25,7175875,-6250,-0.09,7750,0.11,-6250,-0.09,12500,12.50
28,Long-Ausstieg,2023-06-01 15:41,L140 TP1,14308.75,28,7987560,25340,0.32,25340,0.32,-6440,-0.08,37840,37.84
28,Long-Einstieg,2023-06-01 15:35,Long_140,14263.5,28,7987560,25340,0.32,25340,0.32,-6440,-0.08,37840,37.84
29,Long-Ausstieg,2023-06-01 16:42,L140 TP2,14354.25,28,7987560,50820,0.64,50820,0.64,-6440,-0.08,88660,88.66
29,Long-Einstieg,2023-06-01 15:35,Long_140,14263.5,28,7987560,50820,0.64,50820,0.64,-6440,-0.08,88660,88.66
30,Short-Ausstieg,2023-06-07 15:31,S178 SL,14638.25,37,10823055,-9250,-0.09,2960,0.03,-9250,-0.09,79410,79.41
30,Short-Einstieg,2023-06-07 15:31,Short_178,14625.75,37,10823055,-9250,-0.09,2960,0.03,-9250,-0.09,79410,79.41
31,Short-Ausstieg,2023-06-07 15:31,S178 SL,14638.25,37,10823055,-9250,-0.09,2960,0.03,-9250,-0.09,70160,70.16
31,Short-Einstieg,2023-06-07 15:31,Short_178,14625.75,37,10823055,-9250,-0.09,2960,0.03,-9250,-0.09,70160,70.16
32,Short-Ausstieg,2023-06-08 06:01,EOD_CLOSE,14306.75,1,292515,6380,2.18,6430,2.20,-985,-0.34,76540,76.54
32,Short-Einstieg,2023-06-07 15:31,Short_178,14625.75,1,292515,6380,2.18,6430,2.20,-985,-0.34,76540,76.54
33,Short-Ausstieg,2023-06-09 15:31,S178 SL,14580.75,44,12820720,-10340,-0.08,0,0.00,-10340,-0.08,66200,66.20
33,Short-Einstieg,2023-06-09 15:31,Short_178,14569,44,12820720,-10340,-0.08,0,0.00,-10340,-0.08,66200,66.20
34,Short-Ausstieg,2023-06-09 15:31,S178 SL,14580.75,44,12820720,-10340,-0.08,0,0.00,-10340,-0.08,55860,55.86
34,Short-Einstieg,2023-06-09 15:31,Short_178,14569,44,12820720,-10340,-0.08,0,0.00,-10340,-0.08,55860,55.86
35,Short-Ausstieg,2023-06-09 15:32,S254 SL,14586.5,44,12826220,-9900,-0.08,4620,0.04,-9900,-0.08,45960,45.96
35,Short-Einstieg,2023-06-09 15:31,Short_254,14575.25,44,12826220,-9900,-0.08,4620,0.04,-9900,-0.08,45960,45.96
36,Short-Ausstieg,2023-06-09 15:32,S254 SL,14586.5,44,12826220,-9900,-0.08,4620,0.04,-9900,-0.08,36060,36.06
36,Short-Einstieg,2023-06-09 15:31,Short_254,14575.25,44,12826220,-9900,-0.08,4620,0.04,-9900,-0.08,36060,36.06
37,Long-Ausstieg,2023-06-13 15:47,L078 SL,15036,34,10232130,-7650,-0.07,5440,0.05,-7650,-0.07,28410,28.41
37,Long-Einstieg,2023-06-13 15:46,Long_078,15047.25,34,10232130,-7650,-0.07,5440,0.05,-7650,-0.07,28410,28.41
38,Long-Ausstieg,2023-06-13 15:47,L078 SL,15036,34,10232130,-7650,-0.07,5440,0.05,-7650,-0.07,20760,20.76
38,Long-Einstieg,2023-06-13 15:46,Long_078,15047.25,34,10232130,-7650,-0.07,5440,0.05,-7650,-0.07,20760,20.76
39,Short-Ausstieg,2023-06-20 15:48,S178 SL,15295,30,9170250,-6750,-0.07,9900,0.11,-6750,-0.07,14010,14.01
39,Short-Einstieg,2023-06-20 15:37,Short_178,15283.75,30,9170250,-6750,-0.07,9900,0.11,-6750,-0.07,14010,14.01
40,Short-Ausstieg,2023-06-20 15:48,S178 SL,15295,30,9170250,-6750,-0.07,9900,0.11,-6750,-0.07,7260,7.26
40,Short-Einstieg,2023-06-20 15:37,Short_178,15283.75,30,9170250,-6750,-0.07,9900,0.11,-6750,-0.07,7260,7.26
41,Short-Ausstieg,2023-06-23 15:34,S178 SL,15080.5,27,8137395,-6075,-0.07,7830,0.10,-6075,-0.07,1185,1.19
41,Short-Einstieg,2023-06-23 15:32,Short_178,15069.25,27,8137395,-6075,-0.07,7830,0.10,-6075,-0.07,1185,1.19
42,Short-Ausstieg,2023-06-23 15:34,S178 SL,15080.5,27,8137395,-6075,-0.07,7830,0.10,-6075,-0.07,-4890,-4.89
42,Short-Einstieg,2023-06-23 15:32,Short_178,15069.25,27,8137395,-6075,-0.07,7830,0.10,-6075,-0.07,-4890,-4.89
43,Short-Ausstieg,2023-06-23 15:40,S254 TP1,15045,27,8145630,21330,0.26,21330,0.26,-1755,-0.02,16440,16.44
43,Short-Einstieg,2023-06-23 15:35,Short_254,15084.5,27,8145630,21330,0.26,21330,0.26,-1755,-0.02,16440,16.44
44,Short-Ausstieg,2023-06-23 15:45,S254 TP2,15011.5,27,8145630,39420,0.48,39420,0.48,-1755,-0.02,55860,55.86
44,Short-Einstieg,2023-06-23 15:35,Short_254,15084.5,27,8145630,39420,0.48,39420,0.48,-1755,-0.02,55860,55.86
45,Short-Ausstieg,2023-06-28 15:34,S178 SL,15065.25,31,9332705,-7750,-0.08,4650,0.05,-7750,-0.08,48110,48.11
45,Short-Einstieg,2023-06-28 15:32,Short_178,15052.75,31,9332705,-7750,-0.08,4650,0.05,-7750,-0.08,48110,48.11
46,Short-Ausstieg,2023-06-28 15:34,S178 SL,15065.25,31,9332705,-7750,-0.08,4650,0.05,-7750,-0.08,40360,40.36
46,Short-Einstieg,2023-06-28 15:32,Short_178,15052.75,31,9332705,-7750,-0.08,4650,0.05,-7750,-0.08,40360,40.36
47,Short-Ausstieg,2023-06-30 15:33,S178 TP1,15251.25,35,10688125,12250,0.11,12250,0.11,-1575,-0.01,52610,52.61
47,Short-Einstieg,2023-06-30 15:31,Short_178,15268.75,35,10688125,12250,0.11,12250,0.11,-1575,-0.01,52610,52.61
48,Short-Ausstieg,2023-06-30 15:35,S178 SL,15270.75,35,10688125,-1400,-0.01,14350,0.13,-1575,-0.01,51210,51.21
48,Short-Einstieg,2023-06-30 15:31,Short_178,15268.75,35,10688125,-1400,-0.01,14350,0.13,-1575,-0.01,51210,51.21
49,Long-Ausstieg,2023-07-07 15:46,L078 TP1,15244.25,38,11549340,36290,0.31,36290,0.31,-5890,-0.05,87500,87.50
49,Long-Einstieg,2023-07-07 15:37,Long_078,15196.5,38,11549340,36290,0.31,36290,0.31,-5890,-0.05,87500,87.50
50,Long-Ausstieg,2023-07-07 16:33,L078 SL,15194.5,38,11549340,-1520,-0.01,61940,0.54,-5890,-0.05,85980,85.98
50,Long-Einstieg,2023-07-07 15:37,Long_078,15196.5,38,11549340,-1520,-0.01,61940,0.54,-5890,-0.05,85980,85.98
51,Long-Ausstieg,2023-07-18 15:32,L078 SL,15778,46,14526110,-10350,-0.07,11500,0.08,-10350,-0.07,75630,75.63
51,Long-Einstieg,2023-07-18 15:31,Long_078,15789.25,46,14526110,-10350,-0.07,11500,0.08,-10350,-0.07,75630,75.63
52,Long-Ausstieg,2023-07-18 15:32,L078 SL,15778,46,14526110,-10350,-0.07,11500,0.08,-10350,-0.07,65280,65.28
52,Long-Einstieg,2023-07-18 15:31,Long_078,15789.25,46,14526110,-10350,-0.07,11500,0.08,-10350,-0.07,65280,65.28
53,Long-Ausstieg,2023-07-18 15:35,L140 SL,15767.5,1,315785,-435,-0.14,250,0.08,-435,-0.14,64845,64.85
53,Long-Einstieg,2023-07-18 15:31,Long_078,15789.25,1,315785,-435,-0.14,250,0.08,-435,-0.14,64845,64.85
54,Long-Ausstieg,2023-07-18 15:35,L140 SL,15767.5,45,14200875,-10125,-0.07,4050,0.03,-10125,-0.07,54720,54.72
54,Long-Einstieg,2023-07-18 15:32,Long_140,15778.75,45,14200875,-10125,-0.07,4050,0.03,-10125,-0.07,54720,54.72
55,Long-Ausstieg,2023-07-18 15:35,L140 SL,15767.5,46,14516450,-10350,-0.07,4140,0.03,-10350,-0.07,44370,44.37
55,Long-Einstieg,2023-07-18 15:32,Long_140,15778.75,46,14516450,-10350,-0.07,4140,0.03,-10350,-0.07,44370,44.37
56,Long-Ausstieg,2023-07-19 06:01,EOD_CLOSE,15963,2,631150,7370,1.17,10040,1.59,-1830,-0.29,51740,51.74
56,Long-Einstieg,2023-07-18 15:32,Long_140,15778.75,2,631150,7370,1.17,10040,1.59,-1830,-0.29,51740,51.74
57,Short-Ausstieg,2023-07-19 15:32,S178 TP1,16013.5,30,9613650,5550,0.06,5550,0.06,-7200,-0.07,57290,57.29
57,Short-Einstieg,2023-07-19 15:31,Short_178,16022.75,30,9613650,5550,0.06,5550,0.06,-7200,-0.07,57290,57.29
58,Short-Ausstieg,2023-07-19 15:33,S178 TP2,16000.75,30,9613650,13200,0.14,13200,0.14,-7200,-0.07,70490,70.49
58,Short-Einstieg,2023-07-19 15:31,Short_178,16022.75,30,9613650,13200,0.14,13200,0.14,-7200,-0.07,70490,70.49
59,Short-Ausstieg,2023-07-20 06:01,EOD_CLOSE,15883.75,1,320455,2780,0.87,3610,1.13,-800,-0.25,73270,73.27
59,Short-Einstieg,2023-07-19 15:31,Short_178,16022.75,1,320455,2780,0.87,3610,1.13,-800,-0.25,73270,73.27
60,Short-Ausstieg,2023-07-25 15:31,S178 SL,15617,43,13419225,-11395,-0.08,0,0.00,-11395,-0.08,61875,61.88
60,Short-Einstieg,2023-07-25 15:31,Short_178,15603.75,43,13419225,-11395,-0.08,0,0.00,-11395,-0.08,61875,61.88
61,Short-Ausstieg,2023-07-25 15:31,S178 SL,15617,43,13419225,-11395,-0.08,0,0.00,-11395,-0.08,50480,50.48
61,Short-Einstieg,2023-07-25 15:31,Short_178,15603.75,43,13419225,-11395,-0.08,0,0.00,-11395,-0.08,50480,50.48
62,Short-Ausstieg,2023-07-25 15:33,S254 SL,15625,1,312075,-425,-0.14,0,0.00,-425,-0.14,50055,50.06
62,Short-Einstieg,2023-07-25 15:31,Short_178,15603.75,1,312075,-425,-0.14,0,0.00,-425,-0.14,50055,50.06
63,Short-Ausstieg,2023-07-25 15:33,S254 SL,15625,42,13115550,-9450,-0.07,7350,0.06,-9450,-0.07,40605,40.61
63,Short-Einstieg,2023-07-25 15:31,Short_254,15613.75,42,13115550,-9450,-0.07,7350,0.06,-9450,-0.07,40605,40.61
64,Short-Ausstieg,2023-07-25 15:33,S254 SL,15625,43,13427825,-9675,-0.07,7525,0.06,-9675,-0.07,30930,30.93
64,Short-Einstieg,2023-07-25 15:31,Short_254,15613.75,43,13427825,-9675,-0.07,7525,0.06,-9675,-0.07,30930,30.93
