Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
81,Long-Ausstieg,2025-08-06 06:01,EOD_CLOSE,23070.2,1,23204,-133.8,-0.58,91.2,0.39,-257,-1.11,10617.7,10.62
81,Long-Einstieg,2025-08-05 15:31,Long_078,23204,1,23204,-133.8,-0.58,91.2,0.39,-257,-1.11,10617.7,10.62
82,Short-Ausstieg,2025-08-26 15:31,S178 SL,23436,27,632466.9,-305.1,-0.05,0,0.00,-305.1,-0.05,10312.6,10.31
82,Short-Einstieg,2025-08-26 15:31,Short_178,23424.7,27,632466.9,-305.1,-0.05,0,0.00,-305.1,-0.05,10312.6,10.31
83,Short-Ausstieg,2025-08-26 15:31,S178 SL,23436,27,632466.9,-305.1,-0.05,0,0.00,-305.1,-0.05,10007.5,10.01
83,Short-Einstieg,2025-08-26 15:31,Short_178,23424.7,27,632466.9,-305.1,-0.05,0,0.00,-305.1,-0.05,10007.5,10.01
84,Short-Ausstieg,2025-08-26 15:31,S254 SL,23441.8,1,23424.7,-17.1,-0.07,0,0.00,-17.1,-0.07,9990.4,9.99
84,Short-Einstieg,2025-08-26 15:31,Short_178,23424.7,1,23424.7,-17.1,-0.07,0,0.00,-17.1,-0.07,9990.4,9.99
85,Short-Ausstieg,2025-08-26 15:31,S254 SL,23441.8,26,609193,-293.8,-0.05,7.8,0.00,-293.8,-0.05,9696.6,9.70
85,Short-Einstieg,2025-08-26 15:31,Short_254,23430.5,26,609193,-293.8,-0.05,7.8,0.00,-293.8,-0.05,9696.6,9.70
86,Short-Ausstieg,2025-08-26 15:31,S254 SL,23441.8,27,632623.5,-305.1,-0.05,8.1,0.00,-305.1,-0.05,9391.5,9.39
86,Short-Einstieg,2025-08-26 15:31,Short_254,23430.5,27,632623.5,-305.1,-0.05,8.1,0.00,-305.1,-0.05,9391.5,9.39
87,Short-Ausstieg,2025-08-27 06:01,EOD_CLOSE,23562.1,2,46861,-263.2,-0.56,113.4,0.24,-293.4,-0.63,9128.3,9.13
87,Short-Einstieg,2025-08-26 15:31,Short_254,23430.5,2,46861,-263.2,-0.56,113.4,0.24,-293.4,-0.63,9128.3,9.13
88,Long-Ausstieg,2025-08-28 15:56,L140 SL,23537.6,27,635852.7,-337.5,-0.05,826.2,0.13,-337.5,-0.05,8790.8,8.79
88,Long-Einstieg,2025-08-28 15:52,Long_140,23550.1,27,635852.7,-337.5,-0.05,826.2,0.13,-337.5,-0.05,8790.8,8.79
89,Long-Ausstieg,2025-08-28 15:56,L140 SL,23537.6,27,635852.7,-337.5,-0.05,826.2,0.13,-337.5,-0.05,8453.3,8.45
89,Long-Einstieg,2025-08-28 15:52,Long_140,23550.1,27,635852.7,-337.5,-0.05,826.2,0.13,-337.5,-0.05,8453.3,8.45
90,Long-Ausstieg,2025-08-29 06:01,EOD_CLOSE,23680.2,1,23550.1,130.1,0.55,203.7,0.86,-25.6,-0.11,8583.4,8.58
90,Long-Einstieg,2025-08-28 15:52,Long_140,23550.1,1,23550.1,130.1,0.55,203.7,0.86,-25.6,-0.11,8583.4,8.58
91,Long-Ausstieg,2025-08-29 15:37,L078 SL,23575.1,27,636832.8,-305.1,-0.05,305.1,0.05,-305.1,-0.05,8278.3,8.28
91,Long-Einstieg,2025-08-29 15:33,Long_078,23586.4,27,636832.8,-305.1,-0.05,305.1,0.05,-305.1,-0.05,8278.3,8.28
92,Long-Ausstieg,2025-08-29 15:37,L078 SL,23575.1,27,636832.8,-305.1,-0.05,305.1,0.05,-305.1,-0.05,7973.2,7.97
92,Long-Einstieg,2025-08-29 15:33,Long_078,23586.4,27,636832.8,-305.1,-0.05,305.1,0.05,-305.1,-0.05,7973.2,7.97
93,Long-Ausstieg,2025-08-29 15:37,L140 SL,23561.2,27,636481.8,-329.4,-0.05,0,0.00,-329.4,-0.05,7643.8,7.64
93,Long-Einstieg,2025-08-29 15:37,Long_140,23573.4,27,636481.8,-329.4,-0.05,0,0.00,-329.4,-0.05,7643.8,7.64
94,Long-Ausstieg,2025-08-29 15:37,L140 SL,23561.2,27,636481.8,-329.4,-0.05,0,0.00,-329.4,-0.05,7314.4,7.31
94,Long-Einstieg,2025-08-29 15:37,Long_140,23573.4,27,636481.8,-329.4,-0.05,0,0.00,-329.4,-0.05,7314.4,7.31
95,Long-Ausstieg,2025-09-02 15:31,L078 SL,23005.2,27,621445.5,-305.1,-0.05,35.1,0.01,-305.1,-0.05,7009.3,7.01
95,Long-Einstieg,2025-09-02 15:31,Long_078,23016.5,27,621445.5,-305.1,-0.05,35.1,0.01,-305.1,-0.05,7009.3,7.01
96,Long-Ausstieg,2025-09-02 15:31,L078 SL,23005.2,27,621445.5,-305.1,-0.05,35.1,0.01,-305.1,-0.05,6704.2,6.70
96,Long-Einstieg,2025-09-02 15:31,Long_078,23016.5,27,621445.5,-305.1,-0.05,35.1,0.01,-305.1,-0.05,6704.2,6.70
97,Long-Ausstieg,2025-09-02 15:35,L140 TP1,23072.8,27,621018.9,1946.7,0.31,1946.7,0.31,-297,-0.05,8650.9,8.65
97,Long-Einstieg,2025-09-02 15:31,Long_140,23000.7,27,621018.9,1946.7,0.31,1946.7,0.31,-297,-0.05,8650.9,8.65
98,Long-Ausstieg,2025-09-02 15:46,L140 TP2,23147.4,27,621018.9,3960.9,0.64,3960.9,0.64,-297,-0.05,12611.8,12.61
98,Long-Einstieg,2025-09-02 15:31,Long_140,23000.7,27,621018.9,3960.9,0.64,3960.9,0.64,-297,-0.05,12611.8,12.61
99,Long-Ausstieg,2025-09-12 15:36,L078 SL,24000.9,28,672341.6,-316.4,-0.05,470.4,0.07,-316.4,-0.05,12295.4,12.30
99,Long-Einstieg,2025-09-12 15:31,Long_078,24012.2,28,672341.6,-316.4,-0.05,470.4,0.07,-316.4,-0.05,12295.4,12.30
100,Long-Ausstieg,2025-09-12 15:36,L078 SL,24000.9,28,672341.6,-316.4,-0.05,470.4,0.07,-316.4,-0.05,11979,11.98
100,Long-Einstieg,2025-09-12 15:31,Long_078,24012.2,28,672341.6,-316.4,-0.05,470.4,0.07,-316.4,-0.05,11979,11.98
101,Long-Ausstieg,2025-09-12 15:38,L140 SL,23992.5,28,672106.4,-316.4,-0.05,294,0.04,-316.4,-0.05,11662.6,11.66
101,Long-Einstieg,2025-09-12 15:35,Long_140,24003.8,28,672106.4,-316.4,-0.05,294,0.04,-316.4,-0.05,11662.6,11.66
102,Long-Ausstieg,2025-09-12 15:38,L140 SL,23992.5,28,672106.4,-316.4,-0.05,294,0.04,-316.4,-0.05,11346.2,11.35
102,Long-Einstieg,2025-09-12 15:35,Long_140,24003.8,28,672106.4,-316.4,-0.05,294,0.04,-316.4,-0.05,11346.2,11.35
103,Long-Ausstieg,2025-09-16 15:37,L078 SL,24306.6,28,680901.2,-316.4,-0.05,198.8,0.03,-316.4,-0.05,11029.8,11.03
103,Long-Einstieg,2025-09-16 15:33,Long_078,24317.9,28,680901.2,-316.4,-0.05,198.8,0.03,-316.4,-0.05,11029.8,11.03
104,Long-Ausstieg,2025-09-16 15:37,L078 SL,24306.6,28,680901.2,-316.4,-0.05,198.8,0.03,-316.4,-0.05,10713.4,10.71
104,Long-Einstieg,2025-09-16 15:33,Long_078,24317.9,28,680901.2,-316.4,-0.05,198.8,0.03,-316.4,-0.05,10713.4,10.71
105,Long-Ausstieg,2025-09-16 15:50,L140 SL,24292.3,28,680500.8,-316.4,-0.05,462,0.07,-316.4,-0.05,10397,10.40
105,Long-Einstieg,2025-09-16 15:39,Long_140,24303.6,28,680500.8,-316.4,-0.05,462,0.07,-316.4,-0.05,10397,10.40
106,Long-Ausstieg,2025-09-16 15:50,L140 SL,24292.3,28,680500.8,-316.4,-0.05,462,0.07,-316.4,-0.05,10080.6,10.08
106,Long-Einstieg,2025-09-16 15:39,Long_140,24303.6,28,680500.8,-316.4,-0.05,462,0.07,-316.4,-0.05,10080.6,10.08
107,Long-Ausstieg,2025-09-18 15:41,L140 SL,24391.9,27,658918.8,-337.5,-0.05,186.3,0.03,-337.5,-0.05,9743.1,9.74
107,Long-Einstieg,2025-09-18 15:40,Long_140,24404.4,27,658918.8,-337.5,-0.05,186.3,0.03,-337.5,-0.05,9743.1,9.74
108,Long-Ausstieg,2025-09-18 15:41,L140 SL,24391.9,27,658918.8,-337.5,-0.05,186.3,0.03,-337.5,-0.05,9405.6,9.41
108,Long-Einstieg,2025-09-18 15:40,Long_140,24404.4,27,658918.8,-337.5,-0.05,186.3,0.03,-337.5,-0.05,9405.6,9.41
109,Long-Ausstieg,2025-09-19 06:01,EOD_CLOSE,24473,1,24404.4,68.6,0.28,169.4,0.69,-45.7,-0.19,9474.2,9.47
