Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
152,Long-Ausstieg,2025-11-25 15:40,L140 SL,24797,1708,847449820,-384300,-0.05,196420,0.02,-384300,-0.05,5196530,5196.53
152,Long-Einstieg,2025-11-25 15:40,Long_140,24808.25,1708,847449820,-384300,-0.05,196420,0.02,-384300,-0.05,5196530,5196.53
153,Long-Ausstieg,2025-11-26 06:01,EOD_CLOSE,25170.25,2,992330,14480,1.46,15530,1.57,-8250,-0.83,5211010,5211.01
153,Long-Einstieg,2025-11-25 15:40,Long_140,24808.25,2,992330,14480,1.46,15530,1.57,-8250,-0.83,5211010,5211.01
154,Short-Ausstieg,2025-12-02 15:36,S178 SL,25549,1328,678282640,-298800,-0.04,152720,0.02,-298800,-0.04,4912210,4912.21
154,Short-Einstieg,2025-12-02 15:35,Short_178,25537.75,1328,678282640,-298800,-0.04,152720,0.02,-298800,-0.04,4912210,4912.21
155,Short-Ausstieg,2025-12-02 15:36,S178 SL,25549,1328,678282640,-298800,-0.04,152720,0.02,-298800,-0.04,4613410,4613.41
155,Short-Einstieg,2025-12-02 15:35,Short_178,25537.75,1328,678282640,-298800,-0.04,152720,0.02,-298800,-0.04,4613410,4613.41
156,Short-Ausstieg,2025-12-02 15:36,S254 SL,25575.75,1328,678913440,-378480,-0.06,0,0.00,-378480,-0.06,4234930,4234.93
156,Short-Einstieg,2025-12-02 15:36,Short_254,25561.5,1328,678913440,-378480,-0.06,0,0.00,-378480,-0.06,4234930,4234.93
157,Short-Ausstieg,2025-12-02 15:36,S254 SL,25575.75,1328,678913440,-378480,-0.06,0,0.00,-378480,-0.06,3856450,3856.45
157,Short-Einstieg,2025-12-02 15:36,Short_254,25561.5,1328,678913440,-378480,-0.06,0,0.00,-378480,-0.06,3856450,3856.45
158,Long-Ausstieg,2025-12-11 15:31,L140 SL,25578,989,506180090,-247250,-0.05,301645,0.06,-247250,-0.05,3609200,3609.20
158,Long-Einstieg,2025-12-11 15:31,Long_140,25590.5,989,506180090,-247250,-0.05,301645,0.06,-247250,-0.05,3609200,3609.20
159,Long-Ausstieg,2025-12-11 15:31,L140 SL,25578,989,506180090,-247250,-0.05,301645,0.06,-247250,-0.05,3361950,3361.95
159,Long-Einstieg,2025-12-11 15:31,Long_140,25590.5,989,506180090,-247250,-0.05,301645,0.06,-247250,-0.05,3361950,3361.95
160,Long-Ausstieg,2025-12-12 15:48,L078 SL,25504.5,865,441422475,-194625,-0.04,194625,0.04,-194625,-0.04,3167325,3167.33
160,Long-Einstieg,2025-12-12 15:48,Long_078,25515.75,865,441422475,-194625,-0.04,194625,0.04,-194625,-0.04,3167325,3167.33
161,Long-Ausstieg,2025-12-12 15:48,L078 SL,25504.5,865,441422475,-194625,-0.04,194625,0.04,-194625,-0.04,2972700,2972.70
161,Long-Einstieg,2025-12-12 15:48,Long_078,25515.75,865,441422475,-194625,-0.04,194625,0.04,-194625,-0.04,2972700,2972.70
